NAM SUPPLY,,,,,,,,,
PRODUCT,CATEGORY,UNIT,SUPPLIER,SUPPLIER PRICE,NAM PRICE,MARGIN,,CATEGORY,
FOCUS BRIGHTS COLORED PAPER SHORT 75GSM 250 SHEETS (ORANGE),OS,REAM,, ₱ 220.00 , ₱ 297.00 ,35.00%,,,
"FOCUS COLORED PAPER A4 (PEACH, TARO)",OS, REAM ,, ₱ 278.00 , ₱ 385.00 ,38.49%,,,
"FOCUS COLORED PAPER A4 (PINK, YELLOW, GREEN, LIGHT BLUE, VIOLET)",OS, REAM ,, ₱ 275.00 , ₱ 349.25 ,27.00%,,,
FOLDER LONG (WHITE),OS,PC,, ₱ 3.80 , ₱ 4.63 ,21.84%,,,
FOLDER SHORT (GREEN),OS,PC,, ₱ 7.00 , ₱ 9.45 ,35.00%,,,
G.I WIRE NO. 16,MA,PC,, ₱ 100.00 , ₱ 112.00 ,12.00%,,,
GALLON,CM,GALLON,, ₱ 246.30 , ₱ 332.50 ,35.00%,,,
GARBAGE BAG LARGE 100S,CM,PACK,VISPO, ₱ 220.00 , ₱ 317.25 ,44.20%,,,
GARBAGE BAG MEDIUM 100S,CM,PACK,VISPO, ₱ 140.00 , ₱ 189.00 ,35.00%,,,
GARBAGE BAG SMALL 100S,CM,PACK,VISPO, ₱ 80.00 , ₱ 108.00 ,35.00%,,,
GARBAGE BAG XL 100S,CM,PACK,VISPO, ₱ 320.00 , ₱ 432.00 ,35.00%,,,
GARBAGE BAG XXL 100S,CM,PACK,VISPO, ₱ 460.00 , ₱ 621.00 ,35.00%,,,
GLADE AIR FRESHENER SCENTED GEL  180G,CM,PC,, ₱ 108.95 , ₱ 215.50 ,97.80%,,,
GLASS CLEANER,CM,GALLON,, ₱ 90.00 , ₱ 192.19 ,113.54%,,,
GLUE STICK BIG,OS,PC,, ₱ 8.00 , ₱ 10.80 ,35.00%,,,
GLUE STICK SMALL,OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
"GOLD CARBON PAPER LONG (BLACK, BLUE)",OS,PACK,, ₱ 520.00 , ₱ 691.60 ,33.00%,,,
"GOLD CARBON PAPER SHORT (BLACK, BLUE)",OS,PACK,, ₱ 500.00 , ₱ 665.00 ,33.00%,,,
GREASE PASTE HEAT 15GRAMS,TE,PC,, ₱ 20.00 , ₱ 66.50 ,232.50%,,,
GUARDIAN ALCOHOL 70%,CM,GALLON,, ₱ -   , ₱ -   ,#DIV/0!,,,
HAND SOAP,CM,PC,, ₱ 81.48 , ₱ 110.00 ,35.00%,,,
HARD HAT,PPE,PC,SACRAMENTO, ₱ 120.00 , ₱ 162.00 ,35.00%,,,
HARDCOPY A3 BONDPAPER,OS,REAM,, ₱ 520.00 , ₱ 702.00 ,35.00%,,,
HARDCOPY A4 BONDPAPER,OS,REAM,, ₱ 138.00 , ₱ 207.90 ,50.65%,,,
HARDCOPY LONG BONDPAPER,OS,REAM,, ₱ 175.00 , ₱ 249.75 ,42.71%,,,
HARDCOPY SHORT BONDPAPER,OS,REAM,, ₱ 148.00 , ₱ 174.00 ,17.57%,,,
HBW CORRECTION TAPE,OS,PC,, ₱ 15.00 , ₱ 23.00 ,53.33%,,,
"HBW MATRIX BALLPEN ( BLACK, RED )",OS,PC,, ₱ 4.00 , ₱ 5.32 ,33.00%,,,
HBW MATRIX OG-5 REGULAR BALLPEN (BLACK),OS,PC,, ₱ 7.00 , ₱ 9.45 ,35.00%,,,
"HBW MATRIX OIL GEL PEN (BLACK, RED)",OS,PC,, ₱ 4.20 , ₱ 5.67 ,35.00%,,,
"HBW PANDA BALLPEN (BLACK, RED, BLUE)",OS,PC,, ₱ 4.30 , ₱ 5.72 ,33.02%,,,
